Clutch,Rep,Tray,E?,Photo #,size,body.size,D.O.B,C1,days after birth,C1#,C2,days after birth  2,C2#,C3,days after birth  3,C3#,C4,days after birth  4,C4#,C5,days after birth  5,C5#,C6,days after birth  6,C6#,C7,days after birth  7,C7#,C8,days after birth  8,C8#,I?,Inf2,D.O.D,28 days post exposure,Absorbance at 650nm 1,Absorbance at 650nm 2,Absorbance at 650nm 3,Absorbance at 650nm mean,Control mean,Feeding rate,Total Off,MatCSize,Repro Effort
1,1,C1 T1,E,3394,438.58,0.716591835,07/31/2014,08/10/14,10,10,,,,,,,,,,,,,,,,,,,,,,I,I,,09/02/14,0.049,0.049,0.047,0.048333333,0.048722222,0.000388889,10,11,7.882510179
1,3,C1 T1,E,3398,409.37,0.668865884,07/31/2014,08/09/14,9,10,08/12/14,12,16,,,,,,,,,,,,,,,,,,,I,I,,09/02/14,0.047,0.048,0.045,0.046666667,0.048722222,0.002055556,26,11,7.357524721
1,4,C1 T1,E,3400,409.89,0.669715507,07/31/2014,08/10/14,10,7,08/13/2014,13,18,,,,,,,,,,,,,,,,,,,I,I,,09/02/14,0.045,0.046,0.045,0.045333333,0.048722222,0.003388889,25,8,5.357724055
1,5,C1 T1,E,3402,416.25,0.680107053,07/31/2014,08/09/14,9,12,08/13/2014,13,21,,,,,,,,,,,,,,,,,,,I,I,,09/02/14,0.045,0.046,0.048,0.046333333,0.048722222,0.002388889,33,12,8.16128463
1,6,C1 T1,E,3404,426.64,0.697083178,07/31/2014,08/10/14,10,10,08/13/2014,13,18,,,,,,,,,,,,,,,,,,,I,I,,09/02/14,0.048,0.047,0.048,0.047666667,0.048722222,0.001055556,28,8,5.576665425
1,8,C1 T1,E,3408,423.63,0.692165167,07/31/2014,08/10/14,10,8,08/13/2014,13,18,,,,,,,,,,,,,,,,,,,I,I,,09/02/14,0.045,0.045,0.046,0.045333333,0.048722222,0.003388889,26,10,6.921651668
1,9,C1 T1,E,3410,415.79,0.679355463,07/31/2014,08/10/14,10,10,08/13/2014,13,12,,,,,,,,,,,,,,,,,,,I,I,,09/02/14,0.045,0.046,0.046,0.045666667,0.048722222,0.003055556,22,5,3.396777314
1,11,C1 T2,E,3414,423.57,0.692067133,07/31/2014,08/10/14,10,14,08/13/2014,13,17,,,,,,,,,,,,,,,,,,,I,I,,09/02/14,0.047,0.046,0.047,0.046666667,0.047944444,0.001277778,31,9,6.2286042
1,12,C1 T2,E,3416,428.365,0.69990164,07/31/2014,08/10/14,10,13,08/13/2014,13,11,,,,,,,,,,,,,,,,,,,I,I,,09/02/14,0.048,0.045,0.046,0.046333333,0.047944444,0.001611111,24,8,5.599213118
1,13,C1 T2,E,3418,406.04,0.663425027,07/31/2014,08/10/14,10,16,08/14/2014,14,9,,,,,,,,,,,,,,,,,,,I,I,,09/02/14,0.047,0.046,0.046,0.046333333,0.047944444,0.001611111,25,8,5.307400218
1,16,C1 T2,E,3424,461.112,0.753406662,07/31/2014,08/10/14,10,13,,,,,,,,,,,,,,,,,,,,,,I,I,,09/02/14,0.044,0.045,0.046,0.045,0.047944444,0.002944444,13,8,6.027253299
1,17,C1 T2,E,3426,463.534,0.757363946,07/31/2014,08/10/14,10,14,08/14/2014,14,12,,,,,,,,,,,,,,,,,,,I,I,,09/02/14,0.046,0.047,0.046,0.046333333,0.047944444,0.001611111,26,8,6.058911567
1,19,C1 T3,E,3430,439.954,0.7188368,07/31/2014,08/10/14,,,,,,,,,,,,,,,,,,,,,,,,I,I,,09/02/14,0.047,0.048,0.047,0.047333333,0.047166667,-0.000166667,0,10,7.188368005
1,22,C1 T3,E,3435,459.312,0.750465659,07/31/2014,08/10/14,10,12,08/18/2014,18,1,,,,,,,,,,,,,,,,,,,I,I,3493324800,09/02/14,0.045,0.045,0.045,0.045,0.047166667,0.002166667,13,14,10.50651922
2,19,C2 T1,E,3489,637.128,0.842656015,08/03/14,08/14/2014,11,16,,,,,,,,,,,,,,,,,,,,,,I,I,,09/05/14,0.049,0.047,0.045,0.047,0.046055556,-0.000944444,16,,
2,3,C2 T2,E,3509,624.628,0.826123701,08/03/14,08/13/2014,10,14,08/17/2014,14,7,,,,,,,,,,,,,,,,,,,I,I,,09/05/14,0.043,0.046,0.044,0.044333333,0.045555556,0.001222222,21,14,11.56573182
2,24,C2 T2,E,3511,623.695,0.82488973,08/03/14,08/13/2014,10,15,08/17/2014,14,8,,,,,,,,,,,,,,,,,,,I,I,,09/05/14,0.045,0.043,0.045,0.044333333,0.045555556,0.001222222,23,17,14.0231254
2,1,C2 T3,E,3517,610.959,0.808045285,08/04/14,08/14/2014,10,20,08/19/2014,15,2,,,,,,,,,,,,,,,,,,,I,I,,09/06/14,0.05,0.046,0.048,0.048,0.047222222,-0.000777778,22,14,11.31263399
2,2,C2 T3,E,3527,626.827,0.829032066,08/04/14,08/14/2014,10,20,,,,,,,,,,,,,,,,,,,,,,I,I,,09/06/14,0.046,0.045,0.046,0.045666667,0.047222222,0.001555556,20,13,10.77741686
3,11,C3 T1,E,3581,682.506,0.902672283,08/07/14,08/18/2014,11,13,,,,,,,,,,,,,,,,,,,,,,I,I,,09/09/14,0.047,0.049,0.048,0.048,0.047833333,-0.000166667,13,11,9.929395116
3,23,C3 T1,E,3583,672.64,0.889623658,08/07/14,08/18/2014,11,10,,,,,,,,,,,,,,,,,,,,,,I,I,,09/09/14,0.048,0.047,0.047,0.047333333,0.047833333,0.0005,10,12,10.6754839
3,21,C3 T1,E,3589,704.829,0.932196351,08/07/14,08/16/2014,9,4,,,,,,,,,,,,,,,,,,,,,,I,I,,09/09/14,0.046,0.047,0.048,0.047,0.047833333,0.000833333,4,9,8.389767159
3,12,C3 T1,E,3593,644.022,0.851773917,08/07/14,08/18/2014,11,12,,,,,,,,,,,,,,,,,,,,,,I,I,,09/09/14,0.045,0.047,0.046,0.046,0.047833333,0.001833333,12,14,11.92483484
3,19,C3 T1,E,3595,665.034,0.879564076,08/07/14,08/18/2014,11,13,,,,,,,,,,,,,,,,,,,,,,I,I,,09/09/14,0.041,0.046,0.045,0.044,0.047833333,0.003833333,13,11,9.675204835
3,15,C3 T1,E,3597,666.647,0.881697406,08/07/14,08/18/2014,11,9,,,,,,,,,,,,,,,,,,,,,,I,I,,09/09/14,0.046,0.045,0.045,0.045333333,0.047833333,0.0025,9,12,10.58036887
3,3,C3 T2,E,3599,657.182,0.869179138,08/07/14,08/18/2014,11,13,,,,,,,,,,,,,,,,,,,,,,I,I,,09/09/14,0.048,0.047,0.047,0.047333333,0.047611111,0.000277778,13,10,8.691791375
3,6,C3 T2,E,3603,669.218,0.885097772,08/07/14,08/18/2014,11,13,08/22/2014,15,2,,,,,,,,,,,,,,,,,,,I,I,,09/09/14,0.045,0.049,0.046,0.046666667,0.047611111,0.000944444,15,11,9.736075493
3,4,C3 T2,E,3607,685.89,0.907147911,08/07/14,08/18/2014,11,8,,,,,,,,,,,,,,,,,,,,,,I,I,,09/09/14,0.045,0.044,0.045,0.044666667,0.047611111,0.002944444,8,10,9.071479113
3,7,C3 T2,E,3609,681.025,0.900713535,08/07/14,08/18/2014,11,13,,,,,,,,,,,,,,,,,,,,,,I,I,,09/09/14,0.049,0.045,0.05,0.048,0.047611111,-0.000388889,13,11,9.907848881
3,8,C3 T2,E,3613,681.834,0.901783506,08/07/14,08/18/2014,11,12,,,,,,,,,,,,,,,,,,,,,,I,I,,09/09/14,0.044,0.046,0.045,0.045,0.047611111,0.002611111,12,12,10.82140207
5,7,C5 T2,E,3996,724.525,0.958245988,08/15/2014,08/24/2014,9,13,08/28/2014,13,8,,,,,,,,,,,,,,,,,,,I,I,,09/17/2014,0.044,0.047,0.046,0.045666667,0.048055556,0.002388889,21,5,4.791229938
5,10,C5 T2,E,4000,687.881,0.909781178,08/15/2014,08/24/2014,9,9,08/28/2014,13,13,,,,,,,,,,,,,,,,,,,I,I,,09/17/2014,0.045,0.044,0.045,0.044666667,0.048055556,0.003388889,22,3,2.729343535
5,6,C5 T2,E,4004,707.23,0.935371878,08/15/2014,08/25/2014,10,4,08/28/2014,13,11,09/01/14,17,7,,,,,,,,,,,,,,,,I,I,3492979200,09/17/2014,0.046,0.044,0.046,0.045333333,0.048055556,0.002722222,22,3,2.806115634
5,2,C5 T3,E,4077,684.923,0.905868972,08/16/2014,08/27/2014,11,13,,,,,,,,,,,,,,,,,,,,,,I,I,,09/18/2014,0.048,0.045,0.046,0.046333333,0.047722222,0.001388889,13,3,2.717606915
5,1,C5 T3,E,4078,715.14,0.945833526,08/16/2014,08/25/2014,9,9,08/29/2014,13,7,,,,,,,,,,,,,,,,,,,I,I,,09/18/2014,0.044,0.048,0.049,0.047,0.047722222,0.000722222,16,2,1.891667052
10,8,C10 T1,E,4987,746.968,0.987928766,09/11/14,09/20/2014,9,7,,,,,,,,,,,,,,,,,,,,,,I,I,,10/14/2014,0.047,0.046,0.046,0.046333333,0.047055556,0.000722222,7,,
10,19,C10 T1,E,4989,761.239,1.006803378,09/11/14,09/20/2014,9,7,09/24/2014,13,10,,,,,,,,,,,,,,,,,,,I,I,,10/14/2014,0.047,0.046,0.046,0.046333333,0.047055556,0.000722222,17,,
10,22,C10 T1,E,4991,788.705,1.043129501,09/11/14,09/21/2014,10,4,,,,,,,,,,,,,,,,,,,,,,I,I,,10/14/2014,0.044,0.045,0.043,0.044,0.047055556,0.003055556,4,,
10,16,C10 T3,E,5002,686.045,0.907352912,09/14/2014,09/24/2014,10,14,09/28/2014,14,15,,,,,,,,,,,,,,,,,,,I,I,,10/17/2014,0.048,0.048,0.049,0.048333333,0.047111111,-0.001222222,29,,
1,21,C1 T3,E,3433,457.522,0.747540994,07/31/2014,08/10/14,10,7,08/13/2014,13,12,08/21/2014,21,9,08/25/2014,25,8,08/28/2014,28,9,09/02/14,33,6,,,,,,,N,N,,09/02/14,0.045,0.045,0.046,0.045333333,0.047166667,0.001833333,51,12,8.970491932
2,23,C2 T1,E,3485,611.157,0.808307157,08/03/14,08/13/2014,10,20,08/17/2014,14,10,08/21/2014,18,7,08/25/2014,22,7,08/29/2014,26,7,09/02/14,30,6,,,,,,,N,N,,09/05/14,0.047,0.045,0.046,0.046,0.046055556,5.55556E-05,57,,
