Tray,Rep,Clutch,E,I,Photo #,size,actual size,D.O.B,C1,days after birth,C1#,C2,days after birth  2,C2#,C3,days after birth  3,C3#,C4,days after birth  4,C4#,C5,days after birth  5,C5#,C6,days after birth  6,C6#,C7,days after birth  7,C7#,C8,days after birth  8,C8#,D.O.D,28 days post exposure,Absorbance at 650nm 1,Absorbance at 650nm 2,Absorbance at 650nm 3,Absorbance at 650nm mean,Control mean,Feeding rate,Total Off,Pred I?,Lin[I],Prob[I],Prob[N],Most Likely I?,experiment
C1 T1,1,1,E,I,3394,438.58,0.716591835,07/31/2014,08/10/14,10,10,,,,,,,,,,,,,,,,,,,,,,,09/02/14,0.049,0.049,0.047,0.048333333,0.048722222,0.000388889,10,0.795636442,2.639057299,0.933333331,0.066666669,I,1
C1 T1,3,1,E,I,3398,409.37,0.668865884,07/31/2014,08/09/14,9,10,08/12/14,12,16,,,,,,,,,,,,,,,,,,,,09/02/14,0.047,0.048,0.045,0.046666667,0.048722222,0.002055556,26,0.869670406,2.639057299,0.933333331,0.066666669,I,1
C1 T1,4,1,E,I,3400,409.89,0.669715507,07/31/2014,08/10/14,10,7,08/13/2014,13,18,,,,,,,,,,,,,,,,,,,,09/02/14,0.045,0.046,0.045,0.045333333,0.048722222,0.003388889,25,0.868579364,2.639057299,0.933333331,0.066666669,I,1
C1 T1,5,1,E,I,3402,416.25,0.680107053,07/31/2014,08/09/14,9,12,08/13/2014,13,21,,,,,,,,,,,,,,,,,,,,09/02/14,0.045,0.046,0.048,0.046333333,0.048722222,0.002388889,33,0.85459934,2.639057299,0.933333331,0.066666669,I,1
C1 T1,6,1,E,I,3404,426.64,0.697083178,07/31/2014,08/10/14,10,10,08/13/2014,13,18,,,,,,,,,,,,,,,,,,,,09/02/14,0.048,0.047,0.048,0.047666667,0.048722222,0.001055556,28,0.829131757,2.639057299,0.933333331,0.066666669,I,1
C1 T1,8,1,E,I,3408,423.63,0.692165167,07/31/2014,08/10/14,10,8,08/13/2014,13,18,,,,,,,,,,,,,,,,,,,,09/02/14,0.045,0.045,0.046,0.045333333,0.048722222,0.003388889,26,0.836854613,2.639057299,0.933333331,0.066666669,I,1
C1 T1,9,1,E,I,3410,415.79,0.679355463,07/31/2014,08/10/14,10,10,08/13/2014,13,12,,,,,,,,,,,,,,,,,,,,09/02/14,0.045,0.046,0.046,0.045666667,0.048722222,0.003055556,22,0.855650527,2.639057299,0.933333331,0.066666669,I,1
C1 T2,11,1,E,I,3414,423.57,0.692067133,07/31/2014,08/10/14,10,14,08/13/2014,13,17,,,,,,,,,,,,,,,,,,,,09/02/14,0.047,0.046,0.047,0.046666667,0.047944444,0.001277778,31,0.837005661,2.639057299,0.933333331,0.066666669,I,1
C1 T2,12,1,E,I,3416,428.365,0.69990164,07/31/2014,08/10/14,10,13,08/13/2014,13,11,,,,,,,,,,,,,,,,,,,,09/02/14,0.048,0.045,0.046,0.046333333,0.047944444,0.001611111,24,0.82457653,2.639057299,0.933333331,0.066666669,I,1
C1 T2,13,1,E,I,3418,406.04,0.663425027,07/31/2014,08/10/14,10,16,08/14/2014,14,9,,,,,,,,,,,,,,,,,,,,09/02/14,0.047,0.046,0.046,0.046333333,0.047944444,0.001611111,25,0.876475874,2.639057299,0.933333331,0.066666669,I,1
C1 T2,16,1,E,I,3424,461.112,0.753406662,07/31/2014,08/10/14,10,13,,,,,,,,,,,,,,,,,,,,,,,09/02/14,0.044,0.045,0.046,0.045,0.047944444,0.002944444,13,0.719829871,2.639057299,0.933333331,0.066666669,I,1
C1 T2,17,1,E,I,3426,463.534,0.757363946,07/31/2014,08/10/14,10,14,08/14/2014,14,12,,,,,,,,,,,,,,,,,,,,09/02/14,0.046,0.047,0.046,0.046333333,0.047944444,0.001611111,26,0.710731994,2.639057299,0.933333331,0.066666669,I,1
C1 T3,19,1,E,I,3430,439.954,0.7188368,07/31/2014,08/10/14,,,,,,,,,,,,,,,,,,,,,,,,,09/02/14,0.047,0.048,0.047,0.047333333,0.047166667,-0.000166667,0,0.791484526,2.639057299,0.933333331,0.066666669,I,1
C1 T3,22,1,E,I,3435,459.312,0.750465659,07/31/2014,08/10/14,10,12,08/18/2014,18,1,,,,,,,,,,,,,,,,,,,3493324800,09/02/14,0.045,0.045,0.045,0.045,0.047166667,0.002166667,13,0.726476891,2.639057299,0.933333331,0.066666669,I,1
C2 T1,19,2,E,I,3489,637.128,0.842656015,08/03/14,08/14/2014,11,16,,,,,,,,,,,,,,,,,,,,,,,09/05/14,0.049,0.047,0.045,0.047,0.046055556,-0.000944444,16,0.484013002,-1.16315081,0.238095238,0.761904762,N,1
C2 T2,3,2,E,I,3509,624.628,0.826123701,08/03/14,08/13/2014,10,14,08/17/2014,14,7,,,,,,,,,,,,,,,,,,,,09/05/14,0.043,0.046,0.044,0.044333333,0.045555556,0.001222222,21,0.530629867,-1.16315081,0.238095238,0.761904762,N,1
C2 T2,24,2,E,I,3511,623.695,0.82488973,08/03/14,08/13/2014,10,15,08/17/2014,14,8,,,,,,,,,,,,,,,,,,,,09/05/14,0.045,0.043,0.045,0.044333333,0.045555556,0.001222222,23,0.534098018,-1.16315081,0.238095238,0.761904762,N,1
C2 T3,1,2,E,I,3517,610.959,0.808045285,08/04/14,08/14/2014,10,20,08/19/2014,15,2,,,,,,,,,,,,,,,,,,,,09/06/14,0.05,0.046,0.048,0.048,0.047222222,-0.000777778,22,0.580973454,-1.16315081,0.238095238,0.761904762,N,1
C2 T3,2,2,E,I,3527,626.827,0.829032066,08/04/14,08/14/2014,10,20,,,,,,,,,,,,,,,,,,,,,,,09/06/14,0.046,0.045,0.046,0.045666667,0.047222222,0.001555556,20,0.522444622,-1.16315081,0.238095238,0.761904762,N,1
C3 T1,11,3,E,I,3581,682.506,0.902672283,08/07/14,08/18/2014,11,13,,,,,,,,,,,,,,,,,,,,,,,09/09/14,0.047,0.049,0.048,0.048,0.047833333,-0.000166667,13,0.322670054,0.09531018,0.523809524,0.476190476,I,1
C3 T1,23,3,E,I,3583,672.64,0.889623658,08/07/14,08/18/2014,11,10,,,,,,,,,,,,,,,,,,,,,,,09/09/14,0.048,0.047,0.047,0.047333333,0.047833333,0.0005,10,0.355668384,0.09531018,0.523809524,0.476190476,I,1
C3 T1,21,3,E,I,3589,704.829,0.932196351,08/07/14,08/16/2014,9,4,,,,,,,,,,,,,,,,,,,,,,,09/09/14,0.046,0.047,0.048,0.047,0.047833333,0.000833333,4,0.25448326,0.09531018,0.523809524,0.476190476,I,1
C3 T1,12,3,E,I,3593,644.022,0.851773917,08/07/14,08/18/2014,11,12,,,,,,,,,,,,,,,,,,,,,,,09/09/14,0.045,0.047,0.046,0.046,0.047833333,0.001833333,12,0.458369831,0.09531018,0.523809524,0.476190476,I,1
C3 T1,19,3,E,I,3595,665.034,0.879564076,08/07/14,08/18/2014,11,13,,,,,,,,,,,,,,,,,,,,,,,09/09/14,0.041,0.046,0.045,0.044,0.047833333,0.003833333,13,0.382099527,0.09531018,0.523809524,0.476190476,I,1
C3 T1,15,3,E,I,3597,666.647,0.881697406,08/07/14,08/18/2014,11,9,,,,,,,,,,,,,,,,,,,,,,,09/09/14,0.046,0.045,0.045,0.045333333,0.047833333,0.0025,9,0.376429588,0.09531018,0.523809524,0.476190476,I,1
C3 T2,3,3,E,I,3599,657.182,0.869179138,08/07/14,08/18/2014,11,13,,,,,,,,,,,,,,,,,,,,,,,09/09/14,0.048,0.047,0.047,0.047333333,0.047611111,0.000277778,13,0.410135637,0.09531018,0.523809524,0.476190476,I,1
C3 T2,6,3,E,I,3603,669.218,0.885097772,08/07/14,08/18/2014,11,13,08/22/2014,15,2,,,,,,,,,,,,,,,,,,,,09/09/14,0.045,0.049,0.046,0.046666667,0.047611111,0.000944444,15,0.367462233,0.09531018,0.523809524,0.476190476,I,1
C3 T2,4,3,E,I,3607,685.89,0.907147911,08/07/14,08/18/2014,11,8,,,,,,,,,,,,,,,,,,,,,,,09/09/14,0.045,0.044,0.045,0.044666667,0.047611111,0.002944444,8,0.311727338,0.09531018,0.523809524,0.476190476,I,1
C3 T2,7,3,E,I,3609,681.025,0.900713535,08/07/14,08/18/2014,11,13,,,,,,,,,,,,,,,,,,,,,,,09/09/14,0.049,0.045,0.05,0.048,0.047611111,-0.000388889,13,0.327521866,0.09531018,0.523809524,0.476190476,I,1
C3 T2,8,3,E,I,3613,681.834,0.901783506,08/07/14,08/18/2014,11,12,,,,,,,,,,,,,,,,,,,,,,,09/09/14,0.044,0.046,0.045,0.045,0.047611111,0.002611111,12,0.324866899,0.09531018,0.523809524,0.476190476,I,1
C5 T2,7,5,E,I,3996,724.525,0.958245988,08/15/2014,08/24/2014,9,13,08/28/2014,13,8,,,,,,,,,,,,,,,,,,,,09/17/2014,0.044,0.047,0.046,0.045666667,0.048055556,0.002388889,21,0.202792457,-1.16315081,0.238095238,0.761904762,N,1
C5 T2,10,5,E,I,4000,687.881,0.909781178,08/15/2014,08/24/2014,9,9,08/28/2014,13,13,,,,,,,,,,,,,,,,,,,,09/17/2014,0.045,0.044,0.045,0.044666667,0.048055556,0.003388889,22,0.305384958,-1.16315081,0.238095238,0.761904762,N,1
C5 T2,6,5,E,I,4004,707.23,0.935371878,08/15/2014,08/25/2014,10,4,08/28/2014,13,11,09/01/14,17,7,,,,,,,,,,,,,,,,3492979200,09/17/2014,0.046,0.044,0.046,0.045333333,0.048055556,0.002722222,22,0.247741734,-1.16315081,0.238095238,0.761904762,N,1
C5 T3,2,5,E,I,4077,684.923,0.905868972,08/16/2014,08/27/2014,11,13,,,,,,,,,,,,,,,,,,,,,,,09/18/2014,0.048,0.045,0.046,0.046333333,0.047722222,0.001388889,13,0.314833599,-1.16315081,0.238095238,0.761904762,N,1
C5 T3,1,5,E,I,4078,715.14,0.945833526,08/16/2014,08/25/2014,9,9,08/29/2014,13,7,,,,,,,,,,,,,,,,,,,,09/18/2014,0.044,0.048,0.049,0.047,0.047722222,0.000722222,16,0.226391434,-1.16315081,0.238095238,0.761904762,N,1
C10 T1,8,10,E,I,4987,746.968,0.987928766,09/11/14,09/20/2014,9,7,,,,,,,,,,,,,,,,,,,,,,,10/14/2014,0.047,0.046,0.046,0.046333333,0.047055556,0.000722222,7,0.153938607,,,,,1
C10 T1,19,10,E,I,4989,761.239,1.006803378,09/11/14,09/20/2014,9,7,09/24/2014,13,10,,,,,,,,,,,,,,,,,,,,10/14/2014,0.047,0.046,0.046,0.046333333,0.047055556,0.000722222,17,0.128182566,,,,,1
C10 T1,22,10,E,I,4991,788.705,1.043129501,09/11/14,09/21/2014,10,4,,,,,,,,,,,,,,,,,,,,,,,10/14/2014,0.044,0.045,0.043,0.044,0.047055556,0.003055556,4,0.08889266,,,,,1
C10 T3,16,10,E,I,5002,686.045,0.907352912,09/14/2014,09/24/2014,10,14,09/28/2014,14,15,,,,,,,,,,,,,,,,,,,,10/17/2014,0.048,0.048,0.049,0.048333333,0.047111111,-0.001222222,29,0.311230998,,,,,1
C1 T3,21,1,E,N,3433,457.522,0.747540994,07/31/2014,08/10/14,10,7,08/13/2014,13,12,08/21/2014,21,9,08/25/2014,25,8,08/28/2014,28,9,09/02/14,33,6,,,,,,,,09/02/14,0.045,0.045,0.046,0.045333333,0.047166667,0.001833333,51,0.7329886,2.639057299,0.933333331,0.066666669,I,1
C2 T1,23,2,E,N,3485,611.157,0.808307157,08/03/14,08/13/2014,10,20,08/17/2014,14,10,08/21/2014,18,7,08/25/2014,22,7,08/29/2014,26,7,09/02/14,30,6,,,,,,,,09/05/14,0.047,0.045,0.046,0.046,0.046055556,5.56E-05,57,0.580253561,-1.16315081,0.238095238,0.761904762,N,1
C2 T1,9,2,E,N,3487,624.962,0.826565445,08/03/14,08/13/2014,10,15,08/17/2014,14,10,08/21/2014,18,7,08/25/2014,22,7,08/29/2014,26,8,09/02/14,30,6,,,,,,,,09/05/14,0.046,0.046,0.047,0.046333333,0.046055556,-0.000277778,53,0.529387585,-1.16315081,0.238095238,0.761904762,N,1
C2 T1,21,2,E,N,3491,594.433,0.786188244,08/03/14,08/14/2014,11,17,08/22/2014,19,6,08/26/2014,23,8,08/30/2014,27,9,09/03/14,31,4,09/05/14,33,2,,,,,,,,09/05/14,0.044,0.046,0.044,0.044666667,0.046055556,0.001388889,46,0.639576752,-1.16315081,0.238095238,0.761904762,N,1
C2 T1,5,2,E,N,3493,607.591,0.803590819,08/03/14,08/14/2014,11,9,08/17/2014,14,8,08/21/2014,18,4,08/25/2014,22,7,08/29/2014,26,8,09/02/14,30,8,,,,,,,,09/05/14,0.051,0.045,0.045,0.047,0.046055556,-0.000944444,44,0.593163779,-1.16315081,0.238095238,0.761904762,N,1
C2 T1,10,2,E,N,3495,607.762,0.803816981,08/03/14,08/13/2014,10,14,08/17/2014,14,2,08/21/2014,18,6,08/25/2014,22,8,08/29/2014,26,9,09/03/14,31,3,,,,,,,,09/05/14,0.047,0.044,0.049,0.046666667,0.046055556,-0.000611111,42,0.592547475,-1.16315081,0.238095238,0.761904762,N,1
C2 T1,15,2,E,N,3499,616.089,0.814830147,08/03/14,08/13/2014,10,8,08/17/2014,14,12,08/21/2014,18,8,08/25/2014,22,7,08/29/2014,26,7,09/02/14,30,7,,,,,,,,09/05/14,0.043,0.044,0.043,0.043333333,0.046055556,0.002722222,49,0.562218973,-1.16315081,0.238095238,0.761904762,N,1
C2 T1,6,2,E,N,3501,628.13,0.830755395,08/03/14,08/13/2014,10,18,08/17/2014,14,7,08/21/2014,18,5,08/25/2014,22,8,08/29/2014,26,9,09/03/14,31,7,,,,,,,,09/05/14,0.043,0.046,0.044,0.044333333,0.046055556,0.001722222,54,0.517588542,-1.16315081,0.238095238,0.761904762,N,1
C2 T2,18,2,E,N,3503,631.569,0.835303765,08/03/14,08/13/2014,10,20,08/17/2014,14,7,,,,,,,,,,,,,,,,,,,,09/05/14,0.045,0.046,0.045,0.045333333,0.045555556,0.000222222,27,0.504758362,-1.16315081,0.238095238,0.761904762,N,1
C2 T2,12,2,E,N,3505,613.316,0.811162619,08/03/14,08/13/2014,10,16,08/17/2014,14,12,08/21/2014,18,6,08/25/2014,22,3,08/29/2014,26,9,09/02/14,30,6,,,,,,,,09/05/14,0.045,0.047,0.046,0.046,0.045555556,-0.000444444,52,0.572382266,-1.16315081,0.238095238,0.761904762,N,1
C2 T2,16,2,E,N,3507,635.72,0.840793816,08/03/14,08/14/2014,11,13,,,,,,,,,,,,,,,,,,,,,,,09/05/14,0.045,0.045,0.045,0.045,0.045555556,0.000555556,13,0.489265064,-1.16315081,0.238095238,0.761904762,N,1
C2 T2,11,2,E,N,3513,629.775,0.832931047,08/03/14,08/14/2014,11,14,08/17/2014,14,16,08/21/2014,18,4,08/25/2014,22,10,08/29/2014,26,8,09/02/14,30,7,,,,,,,,09/05/14,0.044,0.045,0.044,0.044333333,0.045555556,0.001222222,59,0.511453248,-1.16315081,0.238095238,0.761904762,N,1
C2 T3,22,2,E,N,3519,652.125,0.862490825,08/04/14,08/14/2014,10,25,08/18/2014,14,7,08/22/2014,18,3,08/26/2014,22,8,08/30/2014,26,8,09/03/14,30,8,,,,,,,,09/06/14,0.05,0.047,0.047,0.048,0.047222222,-0.000777778,59,0.428518929,-1.16315081,0.238095238,0.761904762,N,1
C2 T3,17,2,E,N,3521,660.716,0.873853153,08/04/14,08/14/2014,10,20,08/18/2014,14,10,08/22/2014,18,1,08/26/2014,22,6,08/30/2014,26,6,09/03/14,30,6,,,,,,,,09/06/14,0.048,0.046,0.045,0.046333333,0.047222222,0.000888889,49,0.397433031,-1.16315081,0.238095238,0.761904762,N,1
C2 T3,20,2,E,N,3523,624.023,0.825323537,08/04/14,08/14/2014,10,22,08/18/2014,14,9,08/22/2014,18,1,08/26/2014,22,6,08/30/2014,26,9,09/04/14,31,8,,,,,,,,09/06/14,0.045,0.047,0.046,0.046,0.047222222,0.001222222,55,0.532879133,-1.16315081,0.238095238,0.761904762,N,1
C2 T3,13,2,E,N,3525,615.168,0.813612046,08/04/14,08/14/2014,10,24,08/18/2014,14,7,08/22/2014,18,3,08/26/2014,22,6,08/30/2014,26,7,09/03/14,30,8,,,,,,,,09/06/14,0.045,0.045,0.045,0.045,0.047222222,0.002222222,55,0.565600751,-1.16315081,0.238095238,0.761904762,N,1
C2 T3,14,2,E,N,3530,622.707,0.823583015,08/04/14,08/14/2014,10,16,08/18/2014,14,10,08/22/2014,18,3,08/26/2014,22,7,08/30/2014,26,7,09/03/14,30,7,,,,,,,,09/06/14,0.045,0.045,0.045,0.045,0.047222222,0.002222222,50,0.537767016,-1.16315081,0.238095238,0.761904762,N,1
C3 T1,9,3,E,N,3585,684.234,0.90495771,08/07/14,08/18/2014,11,9,08/22/2014,15,5,08/25/2014,18,7,08/30/2014,23,10,09/04/14,28,7,09/07/14,31,7,,,,,,,,09/09/14,0.047,0.046,0.047,0.046666667,0.047833333,0.001166667,45,0.317057021,0.09531018,0.523809524,0.476190476,I,1
C3 T1,13,3,E,N,3587,678.07,0.896805296,08/07/14,08/18/2014,11,3,08/20/2014,13,13,08/24/2014,17,5,08/28/2014,21,6,09/01/14,25,10,09/05/14,29,10,09/09/14,33,8,,,,,09/09/14,0.045,0.047,0.046,0.046,0.047833333,0.001833333,55,0.337312799,0.09531018,0.523809524,0.476190476,I,1
C3 T2,24,3,E,N,3601,696.631,0.921353798,08/07/14,08/18/2014,11,8,08/22/2014,15,6,08/25/2014,18,9,08/28/2014,21,9,09/03/14,27,7,09/06/14,30,10,,,,,,,,09/09/14,0.048,0.047,0.048,0.047666667,0.047611111,-0.000055556,49,0.278395454,0.09531018,0.523809524,0.476190476,I,1
C3 T2,18,3,E,N,3605,700.457,0.926414009,08/07/14,08/16/2014,9,4,08/20/2014,13,13,08/24/2014,17,8,08/28/2014,21,8,09/01/14,25,8,09/05/14,29,7,09/09/14,33,7,,,,,09/09/14,0.045,0.046,0.046,0.045666667,0.047611111,0.001944444,55,0.267065514,0.09531018,0.523809524,0.476190476,I,1
C3 T3,14,3,E,N,3615,650.415,0.860229204,08/08/14,08/18/2014,10,14,08/22/2014,14,7,08/26/2014,18,7,08/30/2014,22,9,09/03/14,26,9,09/07/14,30,4,,,,,,,,09/10/14,0.045,0.045,0.048,0.046,0.045055556,-0.000944444,50,0.434782746,0.09531018,0.523809524,0.476190476,I,1
C3 T3,22,3,E,N,3617,696.368,0.921005958,08/08/14,08/18/2014,10,13,08/22/2014,14,8,08/27/2014,19,3,08/29/2014,21,7,09/02/14,25,6,09/06/14,29,14,09/10/14,33,5,,,,,09/10/14,0.044,0.044,0.045,0.044333333,0.045055556,0.000722222,56,0.279185034,0.09531018,0.523809524,0.476190476,I,1
C3 T3,1,3,E,N,3619,687.91,0.909819533,08/08/14,08/18/2014,10,11,08/22/2014,14,6,08/26/2014,18,6,08/30/2014,22,10,09/03/14,26,8,09/08/14,31,6,,,,,,,,09/10/14,0.044,0.045,0.045,0.044666667,0.045055556,0.000388889,47,0.305293113,0.09531018,0.523809524,0.476190476,I,1
C3 T3,2,3,E,N,3621,719.389,0.95145319,08/08/14,08/19/2014,11,13,08/23/2014,15,5,08/27/2014,19,8,08/31/2014,23,10,09/04/14,27,7,09/08/14,31,9,,,,,,,,09/10/14,0.042,0.045,0.043,0.043333333,0.045055556,0.001722222,52,0.215473207,0.09531018,0.523809524,0.476190476,I,1
C3 T3,20,3,E,N,3623,663.529,0.877573585,08/08/14,08/18/2014,10,16,08/26/2014,18,7,08/30/2014,22,8,09/03/14,26,5,,,,,,,,,,,,,,09/10/14,0.042,0.042,0.045,0.043,0.045055556,0.002055556,36,0.387418978,0.09531018,0.523809524,0.476190476,I,1
C3 T3,17,3,E,N,3625,693.951,0.91780927,08/08/14,08/18/2014,10,11,08/23/2014,15,3,08/27/2014,19,7,08/31/2014,23,6,09/04/14,27,7,09/08/14,31,10,,,,,,,,09/10/14,0.045,0.042,0.043,0.043333333,0.045055556,0.001722222,44,0.286505205,0.09531018,0.523809524,0.476190476,I,1
C5 T1,18,5,E,N,3975,728.011,0.962856519,08/15/2014,08/24/2014,9,9,08/28/2014,13,10,09/01/14,17,9,09/05/14,21,8,09/09/14,25,6,09/13/2014,29,8,09/17/2014,33,6,,,,,09/17/2014,0.05,0.046,0.049,0.048333333,0.048666667,0.000333333,56,0.194507536,-1.16315081,0.238095238,0.761904762,N,1
C5 T1,21,5,E,N,3977,745.085,0.985438338,08/15/2014,08/24/2014,9,9,08/28/2014,13,9,09/01/14,17,9,09/04/14,20,9,09/08/14,24,8,09/12/14,28,8,09/16/2014,32,7,,,,,09/17/2014,0.047,0.047,0.047,0.047,0.048666667,0.001666667,59,0.157636195,-1.16315081,0.238095238,0.761904762,N,1
C5 T1,15,5,E,N,3979,727.096,0.961646354,08/15/2014,08/24/2014,9,13,08/28/2014,13,7,09/01/14,17,8,09/04/14,20,9,09/08/14,24,7,09/12/14,28,8,09/17/2014,33,6,,,,,09/17/2014,0.046,0.045,0.043,0.044666667,0.048666667,0.004,58,0.196656999,-1.16315081,0.238095238,0.761904762,N,1
