Tray,Rep,Clutch,E?,I?,Photo #,size,actual size,D.O.B,C1,days after birth,C1#,C2,days after birth  2,C2#,C3,days after birth  3,C3#,C4,days after birth  4,C4#,C5,days after birth  5,C5#,C6,days after birth  6,C6#,C7,days after birth  7,C7#,C8,days after birth  8,C8#,D.O.D,28 days post exposure,Absorbance at 650nm 1,Absorbance at 650nm 2,Absorbance at 650nm 3,Absorbance at 650nm mean,Control mean,Feeding rate,total.repro
C1 T1,1,1,U,U,3395,419.481,0.685386154,07/31/2014,08/10/14,10,16,08/13/2014,13,12,08/17/2014,17,9,08/21/2014,21,12,08/25/2014,25,11,08/28/2014,28,5,09/02/14,33,4,,,,,09/02/14,0.049,0.049,0.048,0.048666667,0.048722222,5.55556E-05,69
C1 T1,2,1,U,U,3397,441.806,0.721862766,07/31/2014,08/10/14,10,15,08/14/2014,14,14,08/18/2014,18,10,08/23/2014,23,8,08/26/2014,26,6,08/30/2014,30,10,,,,,,,,09/02/14,0.047,0.047,0.046,0.046666667,0.048722222,0.002055556,63
C1 T1,4,1,U,U,3401,449.89,0.73507114,07/31/2014,08/10/14,10,14,08/13/2014,13,20,08/17/2014,17,10,08/21/2014,21,8,08/25/2014,25,8,08/29/2014,29,6,09/02/14,33,4,,,,,09/02/14,0.047,0.046,0.046,0.046333333,0.048722222,0.002388889,70
C1 T1,5,1,U,U,3403,434.31,0.709615121,07/31/2014,08/10/14,10,10,08/13/2014,13,14,08/17/2014,17,11,08/21/2014,21,10,08/25/2014,25,10,08/29/2014,29,8,09/02/14,33,6,,,,,09/02/14,0.046,0.049,0.046,0.047,0.048722222,0.001722222,69
C1 T1,6,1,U,U,3405,454.17,0.742064192,07/31/2014,08/10/14,10,15,08/13/2014,13,17,08/17/2014,17,9,08/21/2014,21,9,08/25/2014,25,9,08/29/2014,29,6,09/02/14,33,5,,,,,09/02/14,0.046,0.047,0.046,0.046333333,0.048722222,0.002388889,70
C1 T1,7,1,U,U,3407,417.382,0.681956617,07/31/2014,08/10/14,10,10,08/13/2014,13,14,08/17/2014,17,5,08/21/2014,21,9,08/25/2014,25,8,08/29/2014,29,5,,,,,,,,09/02/14,0.047,0.046,0.045,0.046,0.048722222,0.002722222,51
C1 T1,8,1,U,U,3409,424.02,0.692802384,07/31/2014,08/10/14,10,17,08/13/2014,13,27,08/17/2014,17,13,08/21/2014,21,8,08/25/2014,25,9,08/29/2014,29,6,09/02/14,33,6,,,,,09/02/14,0.047,0.048,0.047,0.047333333,0.048722222,0.001388889,86
C1 T2,10,1,U,U,3413,425.43,0.69510617,07/31/2014,08/10/14,10,12,08/13/2014,13,14,08/17/2014,17,12,08/20/2014,20,10,08/25/2014,25,7,08/29/2014,29,5,09/02/14,33,6,,,,,09/02/14,0.047,0.047,0.046,0.046666667,0.047944444,0.001277778,66
C1 T2,11,1,U,U,3415,441.14,0.720774595,07/31/2014,08/10/14,10,14,08/13/2014,13,13,08/17/2014,17,6,08/20/2014,20,9,08/25/2014,25,9,08/29/2014,29,3,09/02/14,33,6,,,,,09/02/14,0.045,0.048,0.046,0.046333333,0.047944444,0.001611111,60
C1 T2,13,1,U,U,3417,448.623,0.733001,07/31/2014,08/10/14,10,15,08/14/2014,14,10,08/18/2014,18,9,08/21/2014,21,13,08/25/2014,25,10,08/29/2014,29,8,,,,,,,,09/02/14,0.044,0.046,0.047,0.045666667,0.047944444,0.002277778,65
C1 T2,15,1,U,U,3421,418.796,0.684266939,07/31/2014,08/10/14,10,11,08/13/2014,13,17,08/17/2014,17,7,08/21/2014,21,7,08/25/2014,25,11,08/29/2014,29,7,09/02/14,33,6,,,,,09/02/14,0.047,0.046,0.047,0.046666667,0.047944444,0.001277778,66
C1 T2,16,1,U,U,3423,452.747,0.739739166,07/31/2014,08/10/14,10,15,08/14/2014,14,15,08/18/2014,18,9,08/22/2014,22,9,08/26/2014,26,5,08/30/2014,30,6,,,,,,,,09/02/14,0.045,0.046,0.046,0.045666667,0.047944444,0.002277778,59
C1 T2,17,1,U,U,3425,449.286,0.73408427,07/31/2014,08/10/14,10,14,08/14/2014,14,12,08/18/2014,18,8,08/23/2014,23,7,08/26/2014,26,6,08/30/2014,30,7,,,,,,,,09/02/14,0.046,0.045,0.046,0.045666667,0.047944444,0.002277778,54
C1 T2,18,1,U,U,3427,468.213,0.765008921,07/31/2014,08/10/14,10,8,08/13/2014,13,15,08/17/2014,17,8,08/21/2014,21,9,08/25/2014,25,9,08/29/2014,29,7,09/02/14,33,4,,,,,09/02/14,0.045,0.047,0.046,0.046,0.047944444,0.001944444,60
