Replicate,Clutch,e/u,photo N,photo N 2,Pixels,Length
2,1,e,447,447,284.754,0.465256946
3,1,e,446,446,417.723,0.682513774
4,1,e,471,471,426.919,0.697539034
5,1,e,473,473,462.605,0.755846061
6,1,e,475,475,418.261,0.683392807
7,1,e,477,477,411.065,0.671635329
8,1,e,479,479,420.609,0.687229183
9,1,e,481,481,470.153,0.768178669
10,1,e,483,483,414.174,0.676715095
11,1,e,485,485,474.391,0.775103099
12,1,e,487,487,415.286,0.678531982
13,1,e,488,488,386.448,0.631413838
14,1,e,490,490,429.367,0.701538798
15,1,e,492,492,430.298,0.703059951
16,1,e,494,494,435.137,0.710966348
17,1,e,496,496,445.982,0.728685894
18,1,e,498,498,464,0.758125339
19,1,e,500,500,468.412,0.765334065
20,1,e,519,519,387.507,0.633144129
22,1,e,522,522,423.354,0.691714213
23,1,e,524,524,415.241,0.678458457
25,1,e,527,527,397.255,0.649071296
26,1,e,529,529,376.617,0.615351058
28,1,e,532,532,305.97,0.499921573
29,1,e,534,534,337.144,0.550856486
30,1,e,537,537,534.655,0.873567895
31,1,e,538,538,289.898,0.47366168
32,1,e,540,540,360.799,0.589506173
2,2,e,554,554,496.403,0.811068303
3,2,e,556,556,512.445,0.83727918
4,2,e,584,584,511.097,0.835076695
5,2,e,558,558,517.819,0.846059709
6,2,e,560,560,495.358,0.809360887
7,2,e,562,562,448.308,0.732486324
8,2,e,564,564,527.765,0.862310387
9,2,e,586,586,543.801,0.88851146
10,2,e,589,589,528.916,0.864190995
11,2,e,591,591,517.289,0.845193747
12,2,e,566,566,535.836,0.87549752
13,2,e,592,592,543.768,0.888457542
14,2,e,568,568,551.888,0.901724735
16,2,e,597,597,515.228,0.841826298
17,2,e,570,570,514,0.83981988
18,2,e,599,599,555.388,0.907443353
19,2,e,601,601,523.118,0.854717696
20,2,e,603,603,523.408,0.855191525
21,2,e,605,605,523.347,0.855091857
22,2,e,608,608,515.228,0.841826298
23,2,e,608,609,491.406,0.802903751
24,2,e,611,611,517.985,0.846330935
25,2,e,613,613,491.874,0.803668412
26,2,e,616,616,476.844,0.779111033
27,2,e,617,617,517.042,0.844790176
29,2,e,619,619,530.396,0.866609154
30,2,e,621,621,520.1,0.849786614
31,2,e,624,624,540.833,0.883662072
32,2,e,626,626,495.774,0.810040586
2,3,e,654,654,541.479,0.884717566
3,3,e,657,657,572.126,0.934791417
4,3,e,764,764,559.786,0.914629205
5,3,e,766,766,549.771,0.898265788
6,3,e,768,768,546.245,0.892504689
7,3,e,770,770,530.728,0.867151605
8,3,e,772,772,555.093,0.906961355
9,3,e,774,774,571.405,0.933613382
10,3,e,776,776,563.933,0.92140495
13,3,e,778,778,591.949,0.967180035
14,3,e,780,780,553.263,0.903971335
15,3,e,782,782,564.783,0.922793757
16,3,e,785,785,571.37,0.933556196
17,3,e,786,786,560.817,0.916313746
18,3,e,788,788,565.293,0.923627042
22,3,e,791,791,510.263,0.83371403
23,3,e,793,793,585.491,0.956628368
24,3,e,834,834,553.769,0.904798084
25,3,e,836,836,553.046,0.903616781
26,3,e,840,840,537.643,0.87844996
27,3,e,842,842,575.67,0.940581927
29,3,e,844,844,551.264,0.900705187
30,3,e,846,846,557.659,0.911153919
31,3,e,849,849,584.876,0.955623525
32,3,e,852,852,569.902,0.931157644
2,5,e,967,967,542.236,0.885954421
3,5,e,974,974,581.477,0.950069931
4,5,e,976,976,541.911,0.885423406
5,5,e,992,992,575.392,0.940127705
6,5,e,978,978,575.795,0.940786163
7,5,e,980,980,534.015,0.872522205
9,5,e,994,994,568.285,0.928515643
10,5,e,996,996,537.122,0.877598703
11,5,e,998,998,560.892,0.916436288
13,5,e,1000,1000,572.8,0.93589266
14,5,e,982,982,610.878,0.998107954
15,5,e,985,985,568.595,0.929022149
16,5,e,1002,1002,553.599,0.904520322
17,5,e,986,986,546.761,0.893347777
18,5,e,1004,1004,552.007,0.901919168
19,5,e,988,988,541.361,0.884524767
20,5,e,1010,1010,593.842,0.97027299
21,5,e,1023,1023,601.335,0.982515734
22,5,e,1006,1006,545.927,0.891985112
23,5,e,1008,1008,558.702,0.912858067
27,5,e,1021,1021,578.498,0.94520257
30,5,e,1015,1015,597.609,0.976427857
31,5,e,1017,1017,597.773,0.976695815
32,5,e,1019,1019,581.808,0.950610748
2,1,u,448,448,396.807,0.648339313
3,1,u,445,445,576.514,0.94196093
4,1,u,470,470,457.875,0.748117758
5,1,u,472,472,439.476,0.718055801
6,1,u,474,474,446.959,0.730282206
7,1,u,476,476,436.051,0.712459725
8,1,u,478,478,463.504,0.757314929
9,1,u,480,480,469.527,0.767155854
10,1,u,482,482,414.56,0.677345777
11,1,u,484,484,461.659,0.754300401
12,1,u,486,486,392.818,0.641821723
13,1,u,489,489,452.093,0.738670601
14,1,u,491,491,404.108,0.66026835
15,1,u,493,493,422.573,0.690438144
16,1,u,495,495,454.137,0.742010274
17,1,u,497,497,444.707,0.726602684
18,1,u,499,499,476.206,0.77806861
19,1,u,501,501,490.979,0.802206079
20,1,u,518,518,327.102,0.534448954
21,1,u,520,520,386.89,0.632136018
22,1,u,523,523,384.962,0.628985877
23,1,u,525,525,292.985,0.478705501
25,1,u,526,526,380.434,0.621587619
26,1,u,528,528,353.565,0.577686607
