Replicate,Clutch,Exposed?,Infected?,Lin[Infected],Prob[Infected],Prob[No infection],Most Likely Infected?,,experiment
2,1,e,I,-0.741937345,0.322580645,0.677419355,No infection,,2
4,1,e,I,-0.741937345,0.322580645,0.677419355,No infection,,2
10,1,e,I,-0.741937345,0.322580645,0.677419355,No infection,,2
11,1,e,I,-0.741937345,0.322580645,0.677419355,No infection,,2
17,1,e,I,-0.741937345,0.322580645,0.677419355,No infection,,2
19,1,e,I,-0.741937345,0.322580645,0.677419355,No infection,,2
20,1,e,I,-0.741937345,0.322580645,0.677419355,No infection,,2
26,1,e,I,-0.741937345,0.322580645,0.677419355,No infection,,2
28,1,e,I,-0.741937345,0.322580645,0.677419355,No infection,,2
32,1,e,I,-0.741937345,0.322580645,0.677419355,No infection,,2
7,2,e,I,-3.401197382,0.032258065,0.967741936,No infection,,2
24,3,e,I,-2.674148649,0.064516129,0.935483871,No infection,,2
32,3,e,I,-2.674148649,0.064516129,0.935483871,No infection,,2
3,1,e,N,-0.741937345,0.322580645,0.677419355,No infection,,2
5,1,e,N,-0.741937345,0.322580645,0.677419355,No infection,,2
6,1,e,N,-0.741937345,0.322580645,0.677419355,No infection,,2
7,1,e,N,-0.741937345,0.322580645,0.677419355,No infection,,2
8,1,e,N,-0.741937345,0.322580645,0.677419355,No infection,,2
9,1,e,N,-0.741937345,0.322580645,0.677419355,No infection,,2
12,1,e,N,-0.741937345,0.322580645,0.677419355,No infection,,2
13,1,e,N,-0.741937345,0.322580645,0.677419355,No infection,,2
14,1,e,N,-0.741937345,0.322580645,0.677419355,No infection,,2
15,1,e,N,-0.741937345,0.322580645,0.677419355,No infection,,2
16,1,e,N,-0.741937345,0.322580645,0.677419355,No infection,,2
18,1,e,N,-0.741937345,0.322580645,0.677419355,No infection,,2
21,1,e,N,-0.741937345,0.322580645,0.677419355,No infection,,2
22,1,e,N,-0.741937345,0.322580645,0.677419355,No infection,,2
23,1,e,N,-0.741937345,0.322580645,0.677419355,No infection,,2
24,1,e,N,-0.741937345,0.322580645,0.677419355,No infection,,2
25,1,e,N,-0.741937345,0.322580645,0.677419355,No infection,,2
27,1,e,N,-0.741937345,0.322580645,0.677419355,No infection,,2
29,1,e,N,-0.741937345,0.322580645,0.677419355,No infection,,2
30,1,e,N,-0.741937345,0.322580645,0.677419355,No infection,,2
31,1,e,N,-0.741937345,0.322580645,0.677419355,No infection,,2
2,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
3,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
4,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
5,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
6,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
8,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
9,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
10,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
11,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
12,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
13,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
14,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
15,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
16,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
17,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
18,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
19,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
20,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
21,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
22,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
23,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
24,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
25,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
26,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
27,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
28,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
29,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
30,2,e,N,-3.401197382,0.032258065,0.967741936,No infection,,2
