Replicate,Clutch,Status,C1N,c2N,C3n,C4N,C5n,C6n,C7n,C8N,C9 N,Total Baby Number,Number of clutches
7,1,Unexposed,16,3,18,22,18,13,,,,90,6
21,2,Unexposed,21,10,20,16,9,6,,,,82,6
21,1,Unexposed,18,17,20,9,10,12,7,,,93,7
28,1,Unexposed,15,14,11,12,15,12,8,,,87,7
5,2,Unexposed,11,16,11,12,12,13,7,,,82,7
6,2,Unexposed,20,25,11,11,7,9,5,,,88,7
7,2,Unexposed,17,13,12,10,15,11,10,,,88,7
10,2,Unexposed,22,19,10,10,7,15,9,,,92,7
11,2,Unexposed,18,16,7,12,8,13,3,,,77,7
14,2,Unexposed,21,14,12,9,4,10,14,,,84,7
15,2,Unexposed,10,13,16,12,13,10,7,,,81,7
16,2,Unexposed,18,15,11,13,20,16,6,,,99,7
18,2,Unexposed,12,19,10,15,19,14,5,,,94,7
24,2,Unexposed,20,17,14,12,10,14,10,,,97,7
25,2,Unexposed,25,13,13,15,12,6,11,,,95,7
27,2,Unexposed,19,11,10,8,11,12,7,,,78,7
3,3,Unexposed,16,25,9,13,13,10,9,,,95,7
5,3,Unexposed,20,16,16,13,10,11,9,,,95,7
6,3,Unexposed,20,16,10,7,10,11,5,,,79,7
8,3,Unexposed,18,12,12,12,9,12,9,,,84,7
20,3,Unexposed,16,15,12,15,15,10,10,,,93,7
21,3,Unexposed,19,10,15,16,11,11,17,10,,109,7
30,3,Unexposed,20,8,15,13,14,10,7,,,87,7
31,3,Unexposed,18,14,15,9,12,10,7,,,85,7
4,5,Unexposed,11,24,19,11,7,8,8,,,88,7
9,5,Unexposed,21,12,10,10,9,9,10,,,81,7
10,5,Unexposed,19,12,8,11,10,6,9,,,75,7
14,5,Unexposed,11,17,12,9,9,8,9,,,75,7
15,5,Unexposed,17,26,12,8,12,10,8,,,93,7
16,5,Unexposed,20,16,16,12,11,7,9,,,91,7
18,5,Unexposed,21,7,12,12,13,5,7,,,77,7
19,5,Unexposed,12,19,18,16,7,9,5,,,86,7
20,5,Unexposed,18,20,14,12,9,9,14,,,96,7
23,5,Unexposed,18,16,16,14,9,5,5,,,83,7
26,5,Unexposed,17,16,15,12,11,10,14,,,95,7
27,5,Unexposed,15,16,15,13,10,15,10,,,94,7
3,1,Unexposed,16,18,13,12,11,14,19,8,,111,8
4,1,Unexposed,20,14,13,9,11,10,15,7,,99,8
5,1,Unexposed,14,13,13,9,10,13,16,11,,99,8
6,1,Unexposed,17,16,14,9,10,7,17,8,,98,8
8,1,Unexposed,12,13,14,12,9,8,10,10,,88,8
10,1,Unexposed,12,12,4,11,11,9,11,8,,78,8
11,1,Unexposed,11,16,12,8,9,13,11,11,,91,8
15,1,Unexposed,17,13,14,6,14,14,14,12,,104,8
19,1,Unexposed,20,15,13,10,13,13,17,9,,110,8
20,1,Unexposed,19,15,16,9,16,15,14,2,,106,8
25,1,Unexposed,18,12,19,11,12,14,13,10,,109,8
27,1,Unexposed,14,12,15,9,15,10,10,8,,93,8
29,1,Unexposed,19,11,20,9,11,14,12,12,,108,8
2,2,Unexposed,17,13,11,11,9,15,12,11,,99,8
8,2,Unexposed,13,14,10,8,9,10,16,9,,89,8
19,2,Unexposed,10,16,14,10,8,11,10,11,,90,8
22,2,Unexposed,20,19,9,13,10,13,8,12,,104,8
23,2,Unexposed,18,15,7,11,11,8,3,9,,82,8
26,2,Unexposed,21,13,11,10,10,13,12,12,,102,8
29,2,Unexposed,7,18,15,11,15,11,10,8,,95,8
31,2,Unexposed,18,12,19,16,18,19,16,20,,138,8
2,3,Unexposed,8,18,14,8,14,12,9,12,,95,8
4,3,Unexposed,14,22,19,12,14,14,10,10,,115,8
9,3,Unexposed,16,16,11,9,13,9,7,4,,85,8
10,3,Unexposed,19,19,15,14,12,10,8,3,,100,8
13,3,Unexposed,20,20,14,14,14,7,10,10,,109,8
15,3,Unexposed,15,14,15,19,7,11,9,11,,101,8
17,3,Unexposed,14,15,14,12,12,12,8,11,,98,8
18,3,Unexposed,17,16,11,12,11,8,10,6,,91,8
22,3,Unexposed,17,18,13,10,13,8,12,8,,99,8
24,3,Unexposed,4,12,13,13,23,16,12,7,,100,8
26,3,Unexposed,7,11,14,18,13,12,11,8,,94,8
29,3,Unexposed,9,10,13,16,14,13,11,3,,89,8
2,5,Unexposed,14,12,15,15,7,9,8,3,,83,8
5,5,Unexposed,13,24,25,5,9,8,7,11,,102,8
7,5,Unexposed,17,17,25,8,7,10,14,6,,104,8
11,5,Unexposed,22,14,11,9,13,7,6,6,,88,8
17,5,Unexposed,15,17,22,11,6,12,8,7,,98,8
21,5,Unexposed,15,9,14,16,14,8,10,4,,90,8
30,5,Unexposed,18,13,8,13,9,9,8,4,,82,8
14,1,Unexposed,16,15,16,14,16,12,12,12,10,123,9
16,1,Unexposed,12,15,14,8,12,9,12,11,8,101,9
26,1,Unexposed,22,12,18,10,11,12,10,10,10,115,9
13,2,Unexposed,7,16,12,12,11,11,14,11,11,105,9
